Experiment	bias spectroscopy	
Saved Date	23.09.2021 13:58:21	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	1E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.09.2021 13:09:01	
Filter type	None	
Order		
Cutoff frq		
Bias Spectroscopy>Sweep Start (V)	-1.5E+0	
Bias Spectroscopy>Sweep End (V)	1.5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	200E-6	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	500E-6	
Bias Spectroscopy>End Settling time (s)	200E-6	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	50E-3	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)
-1.00000E+0	1.10679E-9	-23.2605E-9
-992.157E-3	2.46946E-9	-23.9836E-9
-984.314E-3	2.22995E-9	-23.1194E-9
-976.471E-3	4.36243E-9	-22.8592E-9
-968.627E-3	5.29451E-9	-23.2690E-9
-960.784E-3	7.74180E-9	-23.0807E-9
-952.941E-3	7.89583E-9	-23.6755E-9
-945.098E-3	5.65637E-9	-24.4198E-9
-937.255E-3	4.73961E-9	-23.4215E-9
-929.412E-3	262.363E-12	-23.3069E-9
-921.569E-3	4.68187E-9	-23.1039E-9
-913.725E-3	-1.76298E-9	-23.0959E-9
-905.882E-3	2.19078E-9	-23.6092E-9
-898.039E-3	-2.62985E-9	-23.6341E-9
-890.196E-3	2.92286E-9	-24.0549E-9
-882.353E-3	-4.84208E-9	-23.8916E-9
-874.510E-3	2.73012E-9	-23.2704E-9
-866.667E-3	-2.93727E-9	-23.6859E-9
-858.824E-3	2.81537E-9	-22.8958E-9
-850.980E-3	-2.89062E-9	-23.5030E-9
-843.137E-3	2.84084E-9	-23.6815E-9
-835.294E-3	-2.32177E-9	-23.1272E-9
-827.451E-3	2.84896E-9	-22.8352E-9
-819.608E-3	-1.68593E-9	-23.4055E-9
-811.765E-3	3.70186E-9	-24.0183E-9
-803.922E-3	-1.59776E-9	-23.7912E-9
-796.078E-3	3.90641E-9	-23.1801E-9
-788.235E-3	-2.79865E-9	-24.1544E-9
-780.392E-3	3.35347E-9	-23.2700E-9
-772.549E-3	-2.10360E-9	-23.5786E-9
-764.706E-3	2.72432E-9	-23.7862E-9
-756.863E-3	-106.350E-12	-23.6193E-9
-749.020E-3	1.35168E-9	-23.0157E-9
-741.176E-3	1.18229E-9	-23.0110E-9
-733.333E-3	-3.93425E-9	-23.7849E-9
-725.490E-3	-1.52804E-9	-23.1659E-9
