Experiment	bias spectroscopy	
Saved Date	15.10.2021 10:30:28	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	50E-6	
Integration time (s)	50E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	15.10.2021 10:24:31	
Filter type	None	
Order		
Cutoff frq		
Bias Spectroscopy>Sweep Start (V)	-500E-3	
Bias Spectroscopy>Sweep End (V)	500E-3	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	100E-6	
Bias Spectroscopy>Settling time (s)	50E-6	
Bias Spectroscopy>Integration time (s)	50E-3	
Bias Spectroscopy>End Settling time (s)	200E-6	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	50E-3	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	10	
Bias Spectroscopy>Channels	Current (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)
-500.000E-3	-48.9467E-12	-40.0901E-12
-492.126E-3	-33.0086E-12	-53.8925E-12
-484.252E-3	-49.0209E-12	-35.3509E-12
-476.378E-3	-41.9182E-12	-48.3368E-12
-468.504E-3	-36.8005E-12	-46.2803E-12
-460.630E-3	-50.8233E-12	-34.3286E-12
-452.756E-3	-35.1524E-12	-51.4135E-12
-444.882E-3	-41.9017E-12	-35.2046E-12
-437.008E-3	-48.3429E-12	-38.8566E-12
-429.134E-3	-32.5352E-12	-44.9201E-12
-421.260E-3	-47.9864E-12	-29.0787E-12
-413.386E-3	-39.4898E-12	-46.0116E-12
-405.512E-3	-33.4950E-12	-33.6031E-12
-397.638E-3	-50.0245E-12	-31.8311E-12
-389.764E-3	-32.2317E-12	-41.5277E-12
-381.890E-3	-38.9636E-12	-25.4723E-12
-374.016E-3	-46.0114E-12	-38.7082E-12
-366.142E-3	-28.0076E-12	-35.9572E-12
-358.268E-3	-43.5043E-12	-24.8134E-12
-350.394E-3	-37.4352E-12	-42.5667E-12
-342.520E-3	-30.3370E-12	-24.2893E-12
-334.646E-3	-46.1592E-12	-29.5590E-12
-326.772E-3	-31.0137E-12	-35.2406E-12
-318.898E-3	-36.2806E-12	-18.4993E-12
-311.024E-3	-43.8755E-12	-35.5698E-12
-303.150E-3	-25.6639E-12	-25.6644E-12
-295.276E-3	-38.0177E-12	-22.5258E-12
-287.402E-3	-35.9594E-12	-36.2502E-12
-279.528E-3	-25.9973E-12	-14.6269E-12
-271.654E-3	-41.1587E-12	-28.5917E-12
-263.780E-3	-26.7503E-12	-25.6779E-12
-255.906E-3	-31.7209E-12	-14.2368E-12
-248.031E-3	-39.9493E-12	-31.3994E-12
-240.157E-3	-23.2634E-12	-14.3965E-12
-232.283E-3	-37.0681E-12	-17.8641E-12
-224.409E-3	-31.6725E-12	-25.1614E-12
-216.535E-3	-20.5220E-12	-5.57358E-12
-208.661E-3	-36.1888E-12	-23.8733E-12
-200.787E-3	-22.9721E-12	-16.3161E-12
-192.913E-3	-22.9673E-12	-9.93363E-12
-185.039E-3	-34.4385E-12	-23.9577E-12
-177.165E-3	-15.7276E-12	-3.19124E-12
-169.291E-3	-29.2928E-12	-14.3457E-12
-161.417E-3	-24.5441E-12	-15.4817E-12
-153.543E-3	-11.8367E-12	-1.53175E-12
-145.669E-3	-28.3771E-12	-19.7477E-12
-137.795E-3	-14.1937E-12	-6.04898E-12
-129.921E-3	-14.3178E-12	-5.68055E-12
-122.047E-3	-25.8288E-12	-15.9743E-12
-114.173E-3	-6.24195E-12	3.64943E-12
-106.299E-3	-17.8008E-12	-12.8959E-12
-98.4252E-3	-14.0426E-12	-7.33655E-12
-90.5512E-3	-1.82501E-12	3.21036E-12
-82.6772E-3	-18.7098E-12	-14.1077E-12
-74.8031E-3	-4.10451E-12	3.86734E-12
-66.9291E-3	-5.04612E-12	-921.693E-15
-59.0551E-3	-15.6006E-12	-8.60895E-12
-51.1811E-3	3.85849E-12	9.60083E-12
-43.3071E-3	-10.2362E-12	-6.96224E-12
-35.4331E-3	-4.22145E-12	370.727E-15
-27.5590E-3	5.25626E-12	7.74137E-12
-19.6850E-3	-12.0394E-12	-6.78493E-12
-11.8110E-3	5.29979E-12	11.4045E-12
-3.93701E-3	666.870E-15	1.81474E-12
3.93701E-3	-6.47510E-12	-563.081E-15
11.8110E-3	11.4827E-12	15.2770E-12
19.6850E-3	-2.93291E-12	-3.75971E-12
27.5590E-3	4.24468E-12	8.50385E-12
35.4331E-3	11.0026E-12	11.1276E-12
43.3071E-3	-5.29691E-12	-1.89057E-12
51.1811E-3	13.9299E-12	17.9023E-12
59.0551E-3	5.34633E-12	5.20674E-12
66.9291E-3	1.86493E-12	5.69637E-12
74.8032E-3	18.5203E-12	18.0014E-12
82.6772E-3	1.04117E-12	-91.2327E-15
90.5512E-3	12.7007E-12	13.5031E-12
98.4252E-3	14.4021E-12	13.4255E-12
106.299E-3	1.10896E-12	2.48717E-12
114.173E-3	19.7538E-12	21.5642E-12
122.047E-3	6.69934E-12	6.24388E-12
129.921E-3	10.7530E-12	9.46447E-12
137.795E-3	21.5973E-12	19.2741E-12
145.669E-3	3.39017E-12	2.65450E-12
153.543E-3	18.0190E-12	18.9149E-12
161.417E-3	14.1398E-12	15.4102E-12
169.291E-3	6.83757E-12	6.44191E-12
177.165E-3	25.4352E-12	24.4380E-12
185.039E-3	8.78313E-12	8.87212E-12
192.913E-3	18.0562E-12	13.6617E-12
200.787E-3	21.1776E-12	22.9842E-12
208.661E-3	7.44664E-12	6.25232E-12
216.535E-3	25.7886E-12	25.5330E-12
224.409E-3	15.2935E-12	18.8975E-12
232.283E-3	16.9201E-12	13.2644E-12
240.157E-3	29.2375E-12	30.0467E-12
248.031E-3	11.5180E-12	12.7967E-12
255.906E-3	26.9738E-12	22.7391E-12
263.780E-3	22.9715E-12	27.6081E-12
271.654E-3	15.6919E-12	13.5886E-12
279.528E-3	33.3874E-12	32.6440E-12
287.402E-3	16.4080E-12	21.9984E-12
295.276E-3	25.8188E-12	20.2983E-12
303.150E-3	29.5649E-12	34.4996E-12
