Experiment	History Data	
Saved Date		
User		
Sample Period (ms)	20	

[DATA]
Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	OC D2 Amplitude (m)	Reserved  9  (V)	Reserved 10  (V)	OC D2 X (m)	OC D2 Y (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	LI Demod 2 X (A)	LI Demod 2 Y (A)	Reserved 17  (V)	Reserved 18  (V)	Reserved 19  (V)	Reserved 20  (V)	Reserved 21  (V)	Reserved 22  (V)	Internal 23 (V)	Internal 24 (V)	Z Control signal (Hz)	Z Error signal (Hz)	Z SafeTip signal (m)	Reserved 28  (V)	OC D3 Amplitude (m)	OC D3 Phase (deg)	OC D4 Amplitude (m)	OC D4 Phase (deg)
-1.42370E-13	2.44382E-3	-6.62495E-4	-7.88416E-3	3.30616E-3	3.12956E-3	-1.01469E-2	-7.33307E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	2.00155E+1	1.36705E-11	0.00000E+0	5.76361E-2	-1.23242E-12	2.05618E-12	-9.20757E-1	1.92374E-11	0.00000E+0	0.00000E+0	-2.61442E-12	-4.26028E-13	-2.53045E-14	5.73666E-14	1.10411E-14	-7.48895E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.36705E-11	0.00000E+0	1.92493E-11	-1.35645E+0	1.92493E-11	-1.62170E+0
-1.89364E-13	2.44149E-3	-6.26850E-4	-7.91787E-3	3.29050E-3	3.12941E-3	-1.01295E-2	-7.33217E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	3.02875E+1	1.09249E-11	0.00000E+0	5.76361E-2	-1.06354E-12	2.71412E-12	-1.02881E+1	1.56350E-11	0.00000E+0	0.00000E+0	-2.77372E-12	-1.28624E-13	-1.35155E-14	1.04570E-15	9.45126E-15	1.17365E-14	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.09249E-11	0.00000E+0	1.56342E-11	-1.02795E+1	1.56342E-11	-1.05448E+1
-8.10692E-14	2.43487E-3	-6.33908E-4	-7.90557E-3	3.29929E-3	3.09432E-3	-1.01288E-2	-7.32283E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-1.31759E+1	1.12738E-11	0.00000E+0	5.76361E-2	-7.88577E-13	-1.12492E-12	-8.93776E+0	1.63766E-11	0.00000E+0	0.00000E+0	8.28256E-13	-1.20588E-12	1.92234E-14	-5.72476E-15	-9.80182E-15	-3.07446E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.12738E-11	0.00000E+0	1.63820E-11	-1.13417E+1	1.63820E-11	-1.16071E+1
-8.18370E-14	2.44898E-3	-6.69548E-4	-7.92492E-3	3.28046E-3	3.09883E-3	-1.01158E-2	-7.29666E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	2.42975E+0	1.29393E-11	0.00000E+0	5.76361E-2	-4.43064E-12	1.25522E-12	-2.10672E+1	1.86464E-11	0.00000E+0	0.00000E+0	-2.93812E-12	-3.98272E-12	2.34882E-15	8.43082E-15	3.67306E-15	-3.77103E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.29393E-11	0.00000E+0	1.86470E-11	-2.06747E+1	1.86470E-11	-2.00399E+1
-9.19048E-14	2.47797E-3	-6.66813E-4	-7.92107E-3	3.29805E-3	3.09533E-3	-1.01267E-2	-7.29143E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	1.73837E+1	1.17933E-11	0.00000E+0	5.76361E-2	1.13223E-12	1.24509E-12	1.24899E+1	1.80213E-11	0.00000E+0	0.00000E+0	-7.99612E-13	1.74022E-12	-7.95424E-15	1.81581E-14	7.83233E-15	-1.32496E-14	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.17933E-11	0.00000E+0	1.80213E-11	1.30321E+1	1.80212E-11	1.36668E+1
-7.09640E-14	2.47951E-3	-6.59142E-4	-7.93027E-3	3.28929E-3	3.09386E-3	-1.01262E-2	-7.28429E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	2.49910E+1	1.15673E-11	0.00000E+0	5.76361E-2	3.84774E-12	3.99259E-12	4.01508E+1	1.68869E-11	0.00000E+0	0.00000E+0	-2.55453E-12	4.87010E-12	1.04849E-14	-1.25082E-14	6.29003E-15	-5.42853E-17	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.15673E-11	0.00000E+0	1.68736E-11	4.02135E+1	1.68735E-11	3.99485E+1
-1.12376E-13	2.43854E-3	-6.88691E-4	-7.91880E-3	3.27628E-3	3.08748E-3	-1.01396E-2	-7.28580E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	1.00560E+1	9.34751E-12	0.00000E+0	5.76361E-2	3.48162E-12	1.35792E-12	1.69476E+1	1.46370E-11	0.00000E+0	0.00000E+0	-2.50757E-13	3.71822E-12	-2.51138E-14	-2.13329E-15	3.17077E-15	-7.77684E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	9.34751E-12	0.00000E+0	1.46430E-11	1.71272E+1	1.46430E-11	1.68617E+1
-1.88806E-13	2.45556E-3	-6.77563E-4	-7.89228E-3	3.26742E-3	3.09491E-3	-1.01419E-2	-7.31095E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-1.57129E+1	1.19440E-11	0.00000E+0	5.76361E-2	8.76381E-13	-2.14841E-12	5.30497E+0	1.78401E-11	0.00000E+0	0.00000E+0	2.36548E-12	6.16662E-14	-2.86033E-14	1.50091E-14	3.19743E-15	7.46757E-16	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.19440E-11	0.00000E+0	1.78448E-11	5.65544E+0	1.78448E-11	5.38990E+0
-1.77597E-13	2.45157E-3	-6.79650E-4	-7.89814E-3	3.28996E-3	3.10553E-3	-1.01533E-2	-7.30977E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-4.40121E+0	1.02016E-11	0.00000E+0	5.76361E-2	-2.28719E-13	-1.75144E-12	-6.80945E-1	1.67328E-11	0.00000E+0	0.00000E+0	1.45340E-12	-6.29720E-13	-1.62781E-14	1.29466E-14	1.52445E-14	8.22395E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.02016E-11	0.00000E+0	1.67387E-11	-2.80167E+0	1.67387E-11	-3.06681E+0
-1.30379E-13	2.44275E-3	-6.50177E-4	-7.90952E-3	3.30830E-3	3.07819E-3	-1.01574E-2	-7.29016E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-8.44887E+0	1.08466E-11	0.00000E+0	5.76361E-2	2.09032E-12	-9.04232E-13	2.92151E+1	1.61113E-11	0.00000E+0	0.00000E+0	1.40740E-12	1.74246E-12	-1.04592E-14	-4.04424E-15	3.76646E-16	-5.74388E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.08466E-11	0.00000E+0	1.61140E-11	2.76762E+1	1.61140E-11	2.74102E+1
